Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
3768387,25815160,Undirected,,,111,16,45,0
74547342,58260222,Undirected,,,103,41,43,0
43024549,17988709,Undirected,,,103,33,37,0
41713879,2581592,Undirected,,,100,49,45,0
45285824,5768274,Undirected,,,102,20,35,0
45285824,23594534,Undirected,,,104,20,35,0
45285824,10972165,Undirected,,,104,20,35,0
45285824,21778527,Undirected,,,103,20,35,0
45285824,25145054,Undirected,,,107,20,35,0
45285824,31714294,Undirected,,,104,20,35,0
45285824,71261003,Undirected,,,102,20,35,0
45285824,62342928,Undirected,,,101,20,35,0
45285824,46808285,Undirected,,,100,20,35,0
45285824,27257664,Undirected,,,100,20,35,0
45285824,46714045,Undirected,,,102,20,35,0
45285824,46536157,Undirected,,,105,20,35,0
7995846,26301243,Undirected,,,106,14,41,0
7995846,71679453,Undirected,,,147,14,41,0
7995846,48814180,Undirected,,,104,14,41,0
7995846,62722406,Undirected,,,104,14,41,0
7995846,26148465,Undirected,,,102,14,41,0
7995846,15413801,Undirected,,,100,14,41,0
7995846,56294705,Undirected,,,100,14,41,0
7995846,71110235,Undirected,,,103,14,41,0
7995846,22934295,Undirected,,,101,14,41,0
7995846,157738,Undirected,,,103,14,41,0
7995846,52243691,Undirected,,,102,14,41,0
7995846,49564365,Undirected,,,100,14,41,0
7995846,38890836,Undirected,,,100,14,41,0
1278457,35500236,Undirected,,,101,15,48,0
65962515,17900921,Undirected,,,102,38,21,0
1737345,70080153,Undirected,,,101,41,11,0
1737345,10324036,Undirected,,,102,41,42,0
60949128,25815160,Undirected,,,103,16,45,0
74023594,49932328,Undirected,,,101,30,3,0
17892015,17900921,Undirected,,,101,38,21,0
62292666,71010590,Undirected,,,103,46,22,0
68780794,2581592,Undirected,,,102,49,45,0
32768887,23526471,Undirected,,,110,22,24,0
51708797,7131073,Undirected,,,110,41,21,0
51708797,23307326,Undirected,,,104,41,19,0
65635233,2581592,Undirected,,,112,49,45,0
35357636,2581592,Undirected,,,115,49,45,0
51741681,2581592,Undirected,,,118,49,45,0
3736640,31996188,Undirected,,,178,22,45,0
53085277,71010590,Undirected,,,109,46,22,0
22316143,2581592,Undirected,,,109,49,45,0
29099198,53246010,Undirected,,,103,0,21,0
34112728,24790590,Undirected,,,101,1,20,0
17138935,48390650,Undirected,,,100,29,36,0
18842891,43789344,Undirected,,,131,22,36,0
18842891,27878744,Undirected,,,126,22,36,0
24577336,7131073,Undirected,,,107,41,21,0
35194191,28723206,Undirected,,,101,7,20,0
10520061,30092014,Undirected,,,107,22,45,0
56821342,49823379,Undirected,,,104,34,20,0
69895886,28723206,Undirected,,,100,7,20,0
58034011,49823379,Undirected,,,112,34,20,0
13273052,42221299,Undirected,,,102,48,52,0
57935933,24790590,Undirected,,,102,1,20,0
10324036,75510421,Undirected,,,100,42,41,0
10324036,52086816,Undirected,,,101,42,41,0
10324036,5246353,Undirected,,,102,42,41,0
42928330,49823379,Undirected,,,105,34,20,0
35227872,49355496,Undirected,,,101,11,49,0
